symbol,yf_ticker,name,exchange
MFSL,MFSL.NS,Max Financial Services Ltd.,NSE
MAXINDIA,MAXINDIA.NS,Max India Ltd.,NSE
MINDTREE,MINDTREE.NS,MindTree Ltd.,NSE
MINDACORP,MINDACORP.NS,Minda Corporation Ltd.,NSE
MINDAIND,MINDAIND.NS,Minda Industries Ltd.,NSE
MONSANTO,MONSANTO.NS,Monsanto India Ltd.,NSE
MOTHERSUMI,MOTHERSUMI.NS,Motherson Sumi Systems Ltd.,NSE
MOTILALOFS,MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,NSE
MPHASIS,MPHASIS.NS,MphasiS Ltd.,NSE
MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Ltd.,NSE
NATCOPHARM,NATCOPHARM.NS,NATCO Pharma Ltd.,NSE
NBCC,NBCC.NS,NBCC (India) Ltd.,NSE
NCC,NCC.NS,NCC Ltd.,NSE
NESCO,NESCO.NS,NESCO Ltd.,NSE
NHPC,NHPC.NS,NHPC Ltd.,NSE
NIITTECH,NIITTECH.NS,NIIT Technologies Ltd.,NSE
NLCINDIA,NLCINDIA.NS,NLC India Ltd.,NSE
NMDC,NMDC.NS,NMDC Ltd.,NSE
NTPC,NTPC.NS,NTPC Ltd.,NSE
NH,NH.NS,Narayana Hrudayalaya Ltd.,NSE
NATIONALUM,NATIONALUM.NS,National Aluminium Co. Ltd.,NSE
NFL,NFL.NS,National Fertilizers Ltd.,NSE
NBVENTURES,NBVENTURES.NS,Nava Bharat Ventures Ltd.,NSE
NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine International Ltd.,NSE
NETWORK18,NETWORK18.NS,Network18 Media & Investments Ltd.,NSE
NILKAMAL,NILKAMAL.NS,Nilkamal Ltd.,NSE
OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty Ltd.,NSE
ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,NSE
OIL,OIL.NS,Oil India Ltd.,NSE
OMAXE,OMAXE.NS,Omaxe Ltd.,NSE
OFSS,OFSS.NS,Oracle Financial Services Software Ltd.,NSE
ORIENTCEM,ORIENTCEM.NS,Orient Cement Ltd.,NSE
ORIENTELEC,ORIENTELEC.NS,Orient Electric Ltd.,NSE
ORIENTBANK,ORIENTBANK.NS,Oriental Bank of Commerce,NSE
PCJEWELLER,PCJEWELLER.NS,PC Jeweller Ltd.,NSE
PIIND,PIIND.NS,PI Industries Ltd.,NSE
PNBHOUSING,PNBHOUSING.NS,PNB Housing Finance Ltd.,NSE
PNCINFRA,PNCINFRA.NS,PNC Infratech Ltd.,NSE
PTC,PTC.NS,PTC India Ltd.,NSE
PVR,PVR.NS,PVR Ltd.,NSE
PAGEIND,PAGEIND.NS,Page Industries Ltd.,NSE
PARAGMILK,PARAGMILK.NS,Parag Milk Foods Ltd.,NSE
PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,NSE
PETRONET,PETRONET.NS,Petronet LNG Ltd.,NSE
PFIZER,PFIZER.NS,Pfizer Ltd.,NSE
PHILIPCARB,PHILIPCARB.NS,Phillips Carbon Black Ltd.,NSE
PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills Ltd.,NSE
PIDILITIND,PIDILITIND.NS,Pidilite Industries Ltd.,NSE
PEL,PEL.NS,Piramal Enterprises Ltd.,NSE
PFC,PFC.NS,Power Finance Corporation Ltd.,NSE
POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,NSE
PRAJIND,PRAJIND.NS,Praj Industries Ltd.,NSE
PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Ltd.,NSE
PRSMJOHNSN,PRSMJOHNSN.NS,Prism Johnson Ltd.,NSE
PGHL,PGHL.NS,Procter & Gamble Health Ltd.,NSE
PGHH,PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.,NSE
PNB,PNB.NS,Punjab National Bank,NSE
QUESS,QUESS.NS,Quess Corp Ltd.,NSE
RBLBANK,RBLBANK.NS,RBL Bank Ltd.,NSE
RECLTD,RECLTD.NS,REC Ltd.,NSE
RITES,RITES.NS,RITES Ltd.,NSE
