symbol,name,exchange,yf_ticker,sector,close,sma50,sma200,high_52w,pct_off_high,r1m,r3m,r6m,r12m,turnover_cr,vol_surge,adr_pct,gap_pct,tightness_pct,vol_dryup,contracting,surfing_ma,dist_to_ma_pct,higher_lows,up_down_vol_ratio,under_accumulation,pocket_pivot,power_play,power_play_gain,vcp_contractions,vcp_footprint,range_pos,rolling_over,momentum,trend_template,stage2,vcp_setup,qm_breakout,price_gt_sma10,price_gt_sma20,price_gt_sma50,price_gt_sma150,price_gt_sma200,sma50_gt_sma150,sma150_gt_sma200,sma200_rising,within_25_of_high,above_30_of_low,rs_rating,setup_quality
ACMESOLAR,ACME SOLAR HOLDINGS,NSE,ACMESOLAR.NS,Other,352.25,294.99,261.41,364.8,3.44,24.56,57.16,55.64,68.37,95.91,1.55,4.71,-1.02,19.56,False,False,,,1,1.9,True,False,False,,2,12W 14/10 2T,85.94,False,57.93,False,True,False,False,True,True,True,True,True,True,False,True,True,True,62,40
HARDWYN,HARDWYN INDIA,NSE,HARDWYN.NS,Other,24.43,23.84,17.96,28.28,13.61,-0.49,40.08,47.79,88.94,10.39,0.98,5.61,0.0,19.07,True,False,50,8.0,0,1.58,True,False,False,,0,,19.62,True,57.88,True,True,False,False,False,False,True,True,True,True,True,True,True,True,62,55
UNIPARTS,UNIPARTS INDIA,NSE,UNIPARTS.NS,Other,633.05,536.25,482.55,654.0,3.2,11.9,37.34,30.8,99.83,21.29,0.6,4.31,-1.41,10.74,False,False,,,1,4.25,True,False,False,,0,,83.23,False,57.83,True,True,False,False,True,True,True,True,True,True,True,True,True,True,61,51
YASHO,YASHO INDUSTRIES,NSE,YASHO.NS,Other,2475.2,1704.24,1570.22,2594.5,4.6,59.53,77.69,56.44,47.17,11.41,0.64,7.6,-0.5,22.0,False,False,,,3,3.12,True,False,False,,0,,85.57,False,57.29,False,True,False,False,True,True,True,True,True,True,False,True,True,True,60,48
ITDCEM,ITDCEM,NSE,ITDCEM.NS,Construction,826.2,778.48,613.37,944.0,12.48,5.54,71.71,56.45,61.65,37.27,2.32,3.84,0.45,16.09,False,False,20,5.05,2,1.28,True,True,False,,4,12W 15/4 4T,95.46,False,56.49,True,True,False,False,True,True,True,True,True,True,True,True,True,True,60,70
SOUTHWEST,SOUTH WEST PINNACLE,NSE,SOUTHWEST.NS,Other,249.65,239.7,191.73,275.0,9.22,15.53,20.35,30.35,103.7,11.64,0.5,6.91,0.02,12.22,True,True,,,2,1.78,True,False,False,,0,,27.36,True,56.21,True,True,False,False,False,False,True,True,True,True,True,True,True,True,59,57
SENORES,SENORES PHARMACEUTICALS L,NSE,SENORES.NS,Other,1007.0,942.61,813.9,1194.4,15.69,4.29,32.55,31.87,98.93,72.64,0.25,6.0,-0.74,17.16,True,True,,,0,1.88,True,False,False,,0,,3.47,True,56.07,True,True,False,False,False,False,True,True,True,True,True,True,True,True,58,51
HONASA,HONASA CONSUMER - MAMAEARTH,NSE,HONASA.NS,Other,414.9,354.82,303.0,424.9,2.35,15.49,43.54,61.88,68.36,201.29,0.2,3.94,-1.45,9.35,True,True,,,2,7.5,True,False,False,,0,,86.95,False,56.16,True,True,True,False,True,True,True,True,True,True,True,True,True,True,58,60
ADANIGREEN,ADANI GREEN ENERGY,NSE,ADANIGREEN.NS,Power,1490.5,1239.31,1048.17,1532.5,2.74,9.94,73.94,46.3,65.48,702.1,0.78,4.29,-1.65,9.16,True,False,10,3.3,3,2.99,True,False,False,,2,12W 11/9 2T,77.22,False,55.86,True,True,False,False,True,True,True,True,True,True,True,True,True,True,57,67
IFCI,IFCI,NSE,IFCI.NS,Other,73.8,61.6,56.65,83.44,11.55,14.51,37.66,53.27,74.59,469.25,1.37,5.48,-2.01,29.46,False,False,,,1,2.84,True,False,False,,0,,57.79,False,54.8,True,True,False,False,True,True,True,True,True,True,True,True,True,True,56,51
RAIN,RAIN INDUSTRIES,NSE,RAIN.NS,Other,192.6,145.01,135.03,207.3,7.09,33.92,59.64,83.85,36.08,146.73,0.66,5.74,-2.48,18.46,False,False,,,1,3.59,True,False,False,,2,12W 12/10 2T,75.25,False,54.91,True,True,False,False,True,True,True,True,True,True,True,True,True,True,56,51
PARACABLES,PARAMOUNT COMM,NSE,PARACABLES.NS,Other,63.33,47.77,41.3,72.45,12.59,14.87,94.92,72.37,30.85,36.3,0.88,8.9,-0.77,23.1,False,False,,,2,2.46,True,False,True,130.92,0,,52.35,False,54.52,False,True,False,False,False,True,True,True,True,True,False,True,True,True,55,46
ASTRAMICRO,ASTRA MICROWAVE,NSE,ASTRAMICRO.NS,Other,1412.2,1132.49,1024.71,1478.8,4.5,23.08,36.92,56.16,70.42,239.96,1.73,5.25,-0.38,18.57,False,False,,,1,4.09,True,False,False,,0,,83.7,False,54.71,False,True,False,False,True,True,True,True,True,True,False,True,True,True,55,38
CENTUM,CENTUM ELECTRONICS,NSE,CENTUM.NS,Other,3303.0,3003.46,2629.07,3714.0,11.07,6.39,16.34,38.25,97.04,31.1,0.67,6.56,-0.08,17.52,True,False,,,1,1.51,True,False,False,,4,12W 16/6 4T,51.17,False,54.2,False,True,False,False,False,True,True,True,True,True,False,True,True,True,54,40
RISHABH,RISHABH INSTRUMENTS,NSE,RISHABH.NS,Other,508.95,478.62,420.78,566.0,10.08,-3.45,26.79,29.22,98.83,19.0,0.48,6.64,-0.53,15.64,True,True,20,3.59,1,1.91,True,False,False,,0,,43.09,False,53.31,True,True,True,False,False,False,True,True,True,True,True,True,True,True,53,72
